Wavelength 	             Flux
2.028097999999999729e+03 1.641938929549027759e-02
2.030111999999999853e+03 1.243019103230348123e-02
2.032125999999999749e+03 1.369352819617073759e-02
2.034139999999999873e+03 1.371620583276050333e-02
2.036153999999999769e+03 1.383120073085234748e-02
2.038167999999999893e+03 1.495525864489499236e-02
2.040181999999999789e+03 1.637609979892316533e-02
2.042195999999999685e+03 1.651739891921326017e-02
2.044209999999999809e+03 1.436995527137364080e-02
2.046223999999999705e+03 1.119816186065125327e-02
2.048237999999999829e+03 9.168788822748647621e-03
2.050251999999999953e+03 4.568795502643142013e-03
2.052265999999999622e+03 5.950767922054806675e-03
2.054279999999999745e+03 9.346675142152196733e-03
2.056293999999999869e+03 9.855085719544267459e-03
2.058307999999999993e+03 1.047128392995815178e-02
2.060321999999999662e+03 8.068785729704057788e-03
2.062335999999999785e+03 7.336490873671700289e-03
2.064349999999999909e+03 1.010720227855440266e-02
2.066363999999999578e+03 1.011000255351792061e-02
2.068377999999999702e+03 8.932372165992965088e-03
2.070391999999999825e+03 1.056419797137048318e-02
2.072405999999999949e+03 1.145418044215153024e-02
2.074419999999999618e+03 1.061685232191393255e-02
2.076433999999999742e+03 7.657466653096113574e-03
2.078447999999999865e+03 6.490440585514959532e-03
2.080461999999999989e+03 7.241465149499997332e-03
2.082475999999999658e+03 6.907727461225473403e-03
2.084489999999999782e+03 9.546137350618884299e-03
2.086503999999999905e+03 9.475625508914661821e-03
2.088517999999999574e+03 6.418643371696342893e-03
2.090531999999999698e+03 5.813600354989568487e-03
2.092545999999999822e+03 4.529977264788268704e-03
2.094559999999999945e+03 4.508405966339823316e-03
2.096573999999999614e+03 7.335894093761442976e-03
2.098587999999999738e+03 7.802621889729408240e-03
2.100601999999999862e+03 8.648029491828947146e-03
2.102615999999999985e+03 7.871894265466168952e-03
2.104629999999999654e+03 6.334543310497039309e-03
2.106643999999999778e+03 5.350499144630089035e-03
2.108657999999999902e+03 5.840134107922535789e-03
2.110671999999999571e+03 7.450062681208314934e-03
2.112685999999999694e+03 7.809048750301405065e-03
2.114699999999999818e+03 4.721814462247746549e-03
2.116713999999999942e+03 4.092996652039272189e-03
2.118727999999999611e+03 3.764363727304791216e-03
2.120741999999999734e+03 5.676708224805988856e-03
2.122755999999999858e+03 7.965405086788756792e-03
